2025-04-20 10:29:40,809 [INFO] HTTP Request: GET https://raw.githubusercontent.com/BerriAI/litellm/main/model_prices_and_context_window.json "HTTP/1.1 200 OK"
2025-04-20 10:29:44,763 [WARNING]  * Debugger is active!
2025-04-20 10:29:44,766 [INFO]  * Debugger PIN: 470-937-502
2025-04-20 10:29:44,973 [INFO]  * Running on http://127.0.0.1:8000/ (Press CTRL+C to quit)
2025-04-20 10:29:58,888 [INFO]  * Detected change in 'G:\\MVP\\mnt\\data\\CPQ_Agentic_Workflow\\ui\\main.py', reloading
2025-04-20 10:29:58,889 [INFO]  * Detected change in 'G:\\MVP\\mnt\\data\\CPQ_Agentic_Workflow\\ui\\tmpe9czdtay', reloading
2025-04-20 10:29:58,890 [INFO]  * Detected change in 'g:\\mvp\\mnt\\data\\CPQ_Agentic_Workflow\\ui\\main.py', reloading
2025-04-20 10:29:58,892 [INFO]  * Detected change in 'g:\\mvp\\mnt\\data\\CPQ_Agentic_Workflow\\ui\\tmpe9czdtay', reloading
2025-04-20 10:29:58,892 [INFO]  * Detected change in 'G:\\MVP\\mnt\\data\\CPQ_Agentic_Workflow\\ui\\main.py', reloading
2025-04-20 10:29:58,893 [INFO]  * Detected change in 'g:\\mvp\\mnt\\data\\CPQ_Agentic_Workflow\\ui\\main.py', reloading
